SubjID,L_bankssts_thickavg,L_caudalanteriorcingulate_thickavg,L_caudalmiddlefrontal_thickavg,L_cuneus_thickavg,L_entorhinal_thickavg,L_fusiform_thickavg,L_inferiorparietal_thickavg,L_inferiortemporal_thickavg,L_isthmuscingulate_thickavg,L_lateraloccipital_thickavg,L_lateralorbitofrontal_thickavg,L_lingual_thickavg,L_medialorbitofrontal_thickavg,L_middletemporal_thickavg,L_parahippocampal_thickavg,L_paracentral_thickavg,L_parsopercularis_thickavg,L_parsorbitalis_thickavg,L_parstriangularis_thickavg,L_pericalcarine_thickavg,L_postcentral_thickavg,L_posteriorcingulate_thickavg,L_precentral_thickavg,L_precuneus_thickavg,L_rostralanteriorcingulate_thickavg,L_rostralmiddlefrontal_thickavg,L_superiorfrontal_thickavg,L_superiorparietal_thickavg,L_superiortemporal_thickavg,L_supramarginal_thickavg,L_frontalpole_thickavg,L_temporalpole_thickavg,L_transversetemporal_thickavg,L_insula_thickavg,R_bankssts_thickavg,R_caudalanteriorcingulate_thickavg,R_caudalmiddlefrontal_thickavg,R_cuneus_thickavg,R_entorhinal_thickavg,R_fusiform_thickavg,R_inferiorparietal_thickavg,R_inferiortemporal_thickavg,R_isthmuscingulate_thickavg,R_lateraloccipital_thickavg,R_lateralorbitofrontal_thickavg,R_lingual_thickavg,R_medialorbitofrontal_thickavg,R_middletemporal_thickavg,R_parahippocampal_thickavg,R_paracentral_thickavg,R_parsopercularis_thickavg,R_parsorbitalis_thickavg,R_parstriangularis_thickavg,R_pericalcarine_thickavg,R_postcentral_thickavg,R_posteriorcingulate_thickavg,R_precentral_thickavg,R_precuneus_thickavg,R_rostralanteriorcingulate_thickavg,R_rostralmiddlefrontal_thickavg,R_superiorfrontal_thickavg,R_superiorparietal_thickavg,R_superiortemporal_thickavg,R_supramarginal_thickavg,R_frontalpole_thickavg,R_temporalpole_thickavg,R_transversetemporal_thickavg,R_insula_thickavg,LThickness,RThickness,ICV
4999,2.258,2.694,2.232,1.718,2.983,2.508,2.158,2.515,2.447,2.103,2.198,1.919,2.177,2.571,3.081,2.124,2.358,2.327,2.133,1.54,1.866,2.38,2.279,2.115,2.654,2.147,2.416,1.943,2.606,2.293,2.817,3.395,2.223,2.898,2.219,2.423,2.239,1.781,2.799,2.58,2.238,2.51,2.293,2.191,2.167,2.068,2.276,2.551,2.697,2.19,2.349,2.418,2.196,1.529,1.839,2.326,2.308,2.126,2.486,1.98,2.393,1.894,2.541,2.202,2.508,3.195,2.306,2.843,2.25883,2.23352,1.53E+06
5000,2.275,2.469,2.106,1.677,3.533,2.573,2.156,2.598,2.115,1.994,2.407,1.713,2.108,2.651,2.669,2.026,2.239,2.108,2.132,1.541,1.856,2.211,2.141,2.131,2.548,1.931,2.308,1.846,2.552,2.204,2.432,3.313,2.16,2.839,2.242,2.381,2.179,1.676,3.752,2.634,2.272,2.713,2.408,2.1,2.164,1.862,1.851,2.637,2.778,2.133,2.235,2.271,2.208,1.513,1.822,2.144,2.354,2.026,2.34,1.912,2.275,1.923,2.586,2.322,2.233,3.429,2.166,2.878,2.1975,2.21715,1.28E+06
7299,2.52,2.991,2.426,1.693,3.858,2.933,2.278,2.872,2.501,2.261,2.593,2.137,2.432,2.943,3.165,2.245,2.72,2.681,2.149,1.617,2.008,2.559,2.527,2.325,2.953,2.258,2.543,2.103,2.7,2.372,2.729,3.762,2.339,3.014,2.472,2.576,2.408,1.939,3.721,2.899,2.316,3.052,2.451,2.329,2.527,2.102,2.23,2.913,2.906,2.393,2.619,2.509,2.603,1.629,2.139,2.607,2.458,2.498,2.873,2.33,2.57,2.154,2.889,2.559,2.961,4.072,2.561,2.783,2.45638,2.48824,1.32E+06
7300,2.561,3.19,2.418,1.885,3.576,2.935,2.452,3.107,2.757,2.403,2.712,2.129,2.579,3.054,2.827,2.443,2.479,2.798,2.352,1.558,2.087,2.748,2.524,2.407,3.119,2.326,2.684,2.234,3.021,2.571,2.928,4.128,2.663,3.001,2.494,2.81,2.306,1.919,3.653,2.747,2.386,2.876,2.62,2.346,2.578,2.107,2.17,2.855,2.883,2.36,2.302,2.296,2.284,1.44,2.171,2.491,2.489,2.399,2.767,2.221,2.531,2.241,3.002,2.536,2.86,3.739,2.758,3.013,2.56023,2.4567,1.38E+06
7702,2.418,2.797,2.23,1.611,3.888,2.64,2.092,2.768,2.312,1.873,2.289,1.839,2.026,2.654,2.236,2.075,2.29,2.247,2.04,1.454,1.844,2.517,2.291,2.107,2.61,2.097,2.335,1.9,2.527,2.25,2.344,3.358,2.133,2.889,2.284,2.669,2.038,1.717,3.828,2.601,1.998,2.773,2.341,1.866,2.345,1.952,2.219,2.683,2.345,2.237,2.235,2.19,2.086,1.271,1.756,2.319,2.141,2.051,2.738,2.064,2.357,1.74,2.429,2.068,2.498,3.366,2.032,2.792,2.22299,2.1692,1.48E+06
7706,2.267,2.593,2.308,1.662,3.27,2.605,2.241,2.799,2.215,2.029,2.408,1.785,2.167,2.824,2.299,1.893,2.243,2.494,2.186,1.435,1.853,2.229,2.3,2.073,2.806,2.087,2.58,1.938,2.91,2.174,2.466,3.558,2.213,2.719,2.479,2.264,2.324,1.715,3.806,2.626,2.312,2.895,2.183,2.126,2.172,1.793,1.994,2.792,2.383,2.151,2.267,2.431,2.16,1.438,1.893,2.223,2.266,2.21,2.375,1.868,2.42,1.919,2.825,2.35,2.24,3.798,2.284,2.836,2.27908,2.26555,1.42E+06
7707,2.041,2.658,2.066,1.509,1.681,2.691,2.008,2.38,2.266,1.833,2.697,1.956,2.298,2.264,2.47,1.814,2.107,2.125,2.006,1.432,1.765,2.055,2.09,1.806,2.979,2.235,2.259,1.794,2.314,2.06,2.871,2.137,1.813,2.939,2.023,2.554,2.08,1.666,1.763,2.246,1.978,2.252,2.136,1.873,2.322,1.884,2.233,2.568,2.729,2.017,2.185,2.782,2.003,1.401,1.674,2.171,2.02,1.907,2.831,2.112,2.315,1.734,2.429,2.071,2.372,2.821,2.295,2.628,2.11303,2.09642,2.38E+06
8106,2.426,2.539,2.16,1.642,3.442,2.48,2.075,2.531,2.111,1.851,2.263,1.794,1.88,2.668,2.716,2.057,2.165,2.451,2.196,1.463,1.732,2.277,2.301,2.05,2.543,2.147,2.396,1.909,2.594,2.27,2.471,3.442,2.318,2.62,2.53,1.896,2.126,1.533,3.904,2.496,2.156,2.605,1.996,2.024,2.163,1.784,1.913,2.694,2.847,2.163,2.276,1.956,2.116,1.596,1.708,2.072,2.191,2.168,2.253,1.978,2.366,1.896,2.606,2.261,2.295,3.547,2.172,2.499,2.20616,2.18471,1.47E+06
8107,2.547,3.214,2.362,1.751,1.894,2.397,2.32,2.347,2.548,2.063,2.798,2.025,2.407,2.507,2.551,2.308,2.297,3.107,2.354,1.543,1.846,2.523,2.34,2.063,3.013,2.386,2.539,1.895,2.639,2.262,2.623,3.102,2.619,2.642,2.559,2.467,2.237,1.802,3.648,3.077,2.228,2.727,2.607,2.219,2.691,2.136,2.215,2.915,2.744,2.32,2.375,2.893,2.311,1.61,1.847,2.518,2.323,2.175,2.862,2.208,2.505,1.885,2.924,2.146,3.318,3.862,2.337,3.081,2.30427,2.38348,1.44E+06
8273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8364,2.385,2.834,2.59,1.552,3.432,2.519,2.236,2.837,2.295,2.079,2.613,1.751,2.288,2.846,3.24,2.287,2.481,2.674,2.321,1.411,1.906,2.431,2.475,2.151,2.871,2.429,2.587,1.959,2.924,2.367,2.778,3.423,2.273,3.006,2.556,2.414,2.283,1.689,3.481,2.628,2.488,2.921,2.158,2.378,2.465,1.954,2.265,2.939,2.959,2.264,2.547,2.54,2.25,1.434,1.899,2.33,2.083,2.43,2.935,2.221,2.61,1.973,2.879,2.467,2.28,3.283,2.143,3.02,2.38363,2.37893,1.58E+06
8396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8488,2.368,2.442,2.563,1.626,3.074,2.926,2.244,2.969,2.857,2.127,2.524,2.123,2.291,2.911,2.335,2.198,2.431,2.724,2.277,1.523,1.871,2.527,2.388,2.23,2.614,2.161,2.677,1.939,2.733,2.232,2.6,3.82,2.25,2.868,2.754,2.547,2.333,1.783,3.926,2.803,2.426,2.987,2.519,2.331,2.402,2.125,2.162,3.152,2.661,2.442,2.369,2.34,2.344,1.657,1.661,2.236,2.296,2.11,2.197,2.1,2.519,1.957,2.868,2.278,2.321,3.569,2.338,3.099,2.37882,2.37722,1.24E+06
8758,2.511,2.642,2.46,1.631,3.813,2.847,2.29,2.764,2.555,1.943,2.412,1.967,2.169,2.75,2.414,2.253,2.324,2.793,2.664,1.481,1.835,2.335,2.32,2.154,2.878,2.156,2.536,1.976,2.757,2.462,2.694,3.455,2.244,2.986,1.909,2.446,2.373,1.801,4.084,2.839,2.281,2.692,2.356,2.165,2.409,1.967,2.009,2.702,2.489,2.293,2.539,2.854,2.176,1.535,1.722,2.44,2.293,2.268,2.503,2.126,2.606,2.055,2.58,2.431,2.339,3.637,2.269,3.167,2.33715,2.3276,1.22E+06
8769,2.293,2.712,2.245,1.907,3.744,2.868,2.283,2.782,2.473,2.256,2.508,1.975,2.323,2.687,2.931,2.21,2.408,2.387,2.393,1.482,1.945,2.409,2.325,2.165,2.906,2.134,2.614,2.027,2.601,2.421,2.823,3.658,1.872,2.978,2.626,2.747,2.301,1.825,3.998,2.857,2.372,2.859,2.496,2.216,2.481,2.181,2.321,2.833,2.811,2.239,2.534,2.717,2.288,1.529,1.845,2.324,2.329,2.263,2.68,2.201,2.545,2.056,2.448,2.277,2.649,3.996,1.845,2.881,2.35059,2.36339,1.29E+06
