SubjID,L_bankssts_thickavg,L_caudalanteriorcingulate_thickavg,L_caudalmiddlefrontal_thickavg,L_cuneus_thickavg,L_entorhinal_thickavg,L_fusiform_thickavg,L_inferiorparietal_thickavg,L_inferiortemporal_thickavg,L_isthmuscingulate_thickavg,L_lateraloccipital_thickavg,L_lateralorbitofrontal_thickavg,L_lingual_thickavg,L_medialorbitofrontal_thickavg,L_middletemporal_thickavg,L_parahippocampal_thickavg,L_paracentral_thickavg,L_parsopercularis_thickavg,L_parsorbitalis_thickavg,L_parstriangularis_thickavg,L_pericalcarine_thickavg,L_postcentral_thickavg,L_posteriorcingulate_thickavg,L_precentral_thickavg,L_precuneus_thickavg,L_rostralanteriorcingulate_thickavg,L_rostralmiddlefrontal_thickavg,L_superiorfrontal_thickavg,L_superiorparietal_thickavg,L_superiortemporal_thickavg,L_supramarginal_thickavg,L_frontalpole_thickavg,L_temporalpole_thickavg,L_transversetemporal_thickavg,L_insula_thickavg,R_bankssts_thickavg,R_caudalanteriorcingulate_thickavg,R_caudalmiddlefrontal_thickavg,R_cuneus_thickavg,R_entorhinal_thickavg,R_fusiform_thickavg,R_inferiorparietal_thickavg,R_inferiortemporal_thickavg,R_isthmuscingulate_thickavg,R_lateraloccipital_thickavg,R_lateralorbitofrontal_thickavg,R_lingual_thickavg,R_medialorbitofrontal_thickavg,R_middletemporal_thickavg,R_parahippocampal_thickavg,R_paracentral_thickavg,R_parsopercularis_thickavg,R_parsorbitalis_thickavg,R_parstriangularis_thickavg,R_pericalcarine_thickavg,R_postcentral_thickavg,R_posteriorcingulate_thickavg,R_precentral_thickavg,R_precuneus_thickavg,R_rostralanteriorcingulate_thickavg,R_rostralmiddlefrontal_thickavg,R_superiorfrontal_thickavg,R_superiorparietal_thickavg,R_superiortemporal_thickavg,R_supramarginal_thickavg,R_frontalpole_thickavg,R_temporalpole_thickavg,R_transversetemporal_thickavg,R_insula_thickavg,LThickness,RThickness,ICV
4851,2.298,3.192,2.188,1.549,3.232,2.659,2.2,2.698,2.827,1.996,2.69,1.769,2.069,2.837,2.849,2.15,2.232,2.504,1.942,1.239,1.873,2.41,2.286,2.385,2.532,2.016,2.327,1.99,2.571,2.272,2.36,3.571,2.024,2.65,2.271,2.34,2.149,1.881,3.442,2.883,2.199,2.931,2.567,2.129,2.422,1.747,1.965,2.818,2.96,2.409,2.226,2.533,2.042,1.296,1.81,2.577,2.32,2.101,2.518,1.98,2.404,2.009,2.669,2.265,2.228,3.361,2.21,2.555,2.27067,2.27637,1.25E+06
4853,2.382,2.38,2.469,1.684,3.209,2.684,2.521,2.877,2.314,2.375,2.45,1.913,2.051,2.717,2.982,2.108,2.454,2.37,2.32,1.398,2.044,2.28,2.519,2.494,2.667,2.383,2.741,2.449,2.601,2.375,2.493,3.086,2.557,2.601,2.358,2.041,2.446,1.86,3.815,2.682,2.364,2.819,2.158,2.215,2.223,2.001,1.993,2.662,3.019,2.234,2.571,2.363,2.273,1.508,2.076,2.277,2.458,2.423,2.302,2.074,2.537,2.292,2.674,2.398,2.444,3.543,2.644,2.849,2.44063,2.37178,1.49E+06
4865,2.659,2.683,2.366,1.735,3.667,2.779,2.293,2.76,2.799,2.25,2.412,1.981,2.173,2.955,2.58,2.388,2.438,3.022,2.587,1.58,2.045,2.612,2.548,2.335,2.27,2.329,2.674,1.98,2.754,2.283,2.752,3.95,2.481,2.785,2.407,2.085,2.241,1.858,3.922,2.815,2.346,2.859,2.537,2.196,2.423,2.053,2.179,2.88,2.58,2.212,2.372,2.551,2.561,1.734,1.951,2.209,2.43,2.37,2.729,2.193,2.568,2.034,2.81,2.309,2.604,3.758,2.713,2.778,2.41021,2.37879,1.49E+06
4868,2.495,2.518,2.432,1.601,3.318,2.737,2.398,2.989,2.607,2.188,2.598,1.661,2.293,2.838,2.647,2.169,2.252,3.102,2.333,1.365,1.944,2.205,2.484,2.25,2.432,2.263,2.525,2.112,2.597,2.352,2.726,3.428,2.275,3.023,2.545,2.503,2.188,1.724,3.872,2.761,2.42,2.809,2.541,2.261,2.302,1.772,2.287,2.91,2.745,2.238,2.313,2.583,2.226,1.364,1.788,2.08,2.429,2.332,2.369,1.962,2.449,2.074,2.676,2.282,2.423,3.787,2.078,2.95,2.39772,2.34452,1.32E+06
4870,2.209,2.813,2.375,1.607,2.861,2.613,2.206,3.118,2.451,2.091,2.561,1.854,2.382,2.833,2.428,2.163,2.394,2.72,2.434,1.438,1.979,2.527,2.318,2.049,3.132,2.351,2.598,1.873,2.621,2.396,3.031,3.558,1.953,2.808,2.349,2.62,2.242,1.858,2.927,2.62,2.208,2.559,2.504,2.13,2.23,1.732,2.335,2.821,2.511,2.16,2.422,2.502,2.205,1.453,1.923,2.363,2.307,2.095,2.774,2.163,2.519,1.949,2.573,2.263,2.781,3.38,2.173,2.677,2.35919,2.28012,1.12E+06
4871,2.601,2.807,2.642,1.991,3.223,2.767,2.488,3.14,2.391,2.09,2.506,2.101,2.344,2.924,2.536,2.225,2.582,2.667,2.391,1.618,2.155,2.329,2.642,2.278,3.143,2.316,2.629,2.158,2.747,2.368,2.322,3.571,2.294,2.887,2.594,2.429,2.734,1.971,3.62,2.926,2.428,2.983,2.226,2.191,2.477,1.964,2.291,2.924,2.777,2.373,2.738,2.673,2.499,1.587,1.933,2.272,2.631,2.28,2.517,2.294,2.617,2.175,2.807,2.433,2.938,3.668,2.367,3.005,2.48554,2.47136,1.37E+06
4874,2.26,2.53,2.296,1.707,3.297,2.78,2.315,2.869,2.358,2.199,2.436,1.856,2.066,2.723,3.152,2.217,2.44,2.347,1.965,1.488,1.898,2.354,2.459,2.205,2.621,2.115,2.588,1.987,2.735,2.395,2.336,4.04,2.315,2.699,2.41,2.249,2.143,1.936,3.354,2.736,2.332,2.917,2.337,2.411,2.251,1.937,2.198,2.795,3.109,2.436,2.513,2.131,2.141,1.49,1.781,2.329,2.396,2.454,2.432,2.043,2.529,2.03,2.753,2.303,2.428,3.862,2.211,2.694,2.32918,2.33812,1.49E+06
4877,2.141,2.696,2.407,1.658,2.738,2.566,2.043,2.779,2.464,1.918,2.287,1.948,2.294,2.664,2.377,2.144,2.583,2.672,2.114,1.572,1.904,2.468,2.481,1.968,2.87,2.287,2.679,1.815,2.397,2.186,2.651,3.258,2.288,2.806,2.232,2.664,2.487,1.6,3.307,2.569,2.114,2.638,2.23,2.103,2.281,1.912,2.295,2.71,2.36,2.518,2.45,2.4,2.061,1.663,1.833,2.372,2.531,2.015,2.956,1.981,2.627,1.783,2.343,2.211,1.914,3.677,2.189,2.77,2.27629,2.25663,1.31E+06
4879,2.318,2.523,2.312,1.562,2.757,2.459,2.19,2.418,2.251,2.081,2.321,1.924,2.116,2.603,2.51,2.018,2.254,2.408,2.271,1.503,1.718,2.28,2.347,2.095,2.636,2.055,2.485,1.933,2.468,2.233,2.314,3.11,2.371,2.764,2.405,2.196,2.237,1.58,3.084,2.533,2.107,2.54,2.19,1.975,2.26,2.037,2.146,2.662,2.533,2.149,2.371,2.698,2.241,1.457,1.731,2.247,2.219,2.119,2.539,1.893,2.295,1.912,2.693,2.37,2.512,3.195,2.436,2.625,2.23396,2.21078,1.43E+06
4882,2.357,2.553,2.376,1.798,3.984,2.603,2.277,2.67,2.204,2.112,2.537,2.04,2.287,2.588,2.471,2.259,2.382,2.412,2.359,1.475,1.924,2.217,2.362,2.156,2.415,2.171,2.473,1.95,2.682,2.289,2.695,3.467,2.123,2.871,2.437,2.458,2.258,1.628,3.921,2.706,2.368,2.65,2.287,2.218,2.367,1.956,2.211,2.769,2.486,2.43,2.312,2.602,2.256,1.454,1.996,2.45,2.366,2.312,2.304,2.117,2.454,2.024,2.673,2.448,2.303,3.631,2.13,2.775,2.31717,2.34155,1.49E+06
